# haiku2u content file — edit me freely!
# One row per candidate line:  theme,stage,line
#   stage 1 = first line of the haiku  (5 syllables)
#   stage 2 = second line               (7 syllables)
#   stage 3 = third line                (5 syllables)
# A theme needs at least 3 lines per stage to appear in the game.
# Give a theme MORE than 3 lines per stage and the game will pick 3 at random.
# Lines may contain commas; only the first two commas split the row.
# Check your syllable counts with:  npm run check:syllables
theme,stage,line
loss,3,Lighter and less whole
loss,3,Echo then quiet
time,1,The candle shortens
time,1,Rings inside the oak
time,1,Sand through the thin waist
time,2,The river is never twice
time,2,Children wear their fathers' coats
time,2,Noon leans into afternoon
time,3,Spend it like water
time,3,Even stones grow old
time,3,Now. And now. And now
change,1,Skins left on branches
change,1,Green turns to copper
change,1,The river moves house
change,2,What was map is now water
change,2,The caterpillar dissolves
change,2,New banks for the same current
change,3,I outgrow my name
change,3,Turn the field under
change,3,Doors where walls had been
home,1,Smoke I recognize
home,1,The one creaking stair
home,1,Hills shaped like my sleep
home,2,The kettle knows my footsteps
home,2,Even the dust here is mine
home,2,The road bends to one lit door
home,3,I unclench at last
home,3,The latch lifts easy
home,3,Here my bones settle
journey,1,Dust on my sandals
journey,1,The map ends; I don't
journey,1,Far bells unknown town
journey,2,Each pass reveals one more pass
journey,2,I trade my roof for the stars
journey,2,The road eats months like berries
journey,3,Walking is the home
journey,3,Blisters then strong soles
journey,3,Arrive then begin
war,1,Crows above the field
war,1,Rust where wheat once stood
war,1,Drums drown the birdsong
war,2,The river ran a wrong red
war,2,Boys wear their grandfathers' ghosts
war,2,No side wins the burned harvest
war,3,The widow plants on
war,3,Smoke where songs had been
war,3,Let the grass return
mercy,1,The drawn blade returns
mercy,1,Rain on the parched field
mercy,1,The trap left open
mercy,2,The hawk lets the rabbit pass
mercy,2,A debt erased with one nod
mercy,2,Strong hands choosing to be soft
mercy,3,Both of us walk free
mercy,3,The scale set aside
mercy,3,Softness is not weak
wisdom,1,The old turtle waits
wisdom,1,Gray in the pine's beard
wisdom,1,The well runs deepest
wisdom,2,The mountain rarely speaks first
wisdom,2,Ask the river how to yield
wisdom,2,Old scars teach the new soldiers
wisdom,3,Listen twice speak once
wisdom,3,The empty cup fills
wisdom,3,Knowing when to stop
youth,1,Green wood bends laughing
youth,1,Scraped knees full pockets
youth,1,The colt tests the fence
youth,2,Summer believes it is long
youth,2,New leaves drunk on their first rain
youth,2,The whole map not yet unrolled
youth,3,Run before you ache
youth,3,Dawn tastes of always
youth,3,The sap rises fast
age,1,Frost in my eyebrows
age,1,The stairs grow taller
age,1,Slow tea long shadows
age,2,Trees I planted now shade me
age,2,My hands remember the work
age,2,Winter sun is still the sun
age,3,Ripeness then sweetness
age,3,Slow steps see the most
age,3,The late light is gold
regret,1,The unsent letter
regret,1,Doors I walked right past
regret,1,Salt sown by my hand
regret,2,The word I swallowed still burns
regret,2,Springs I left unplanted ache
regret,2,The boat I watched from the shore
regret,3,If is a cold room
regret,3,Still dawn offers more
regret,3,I write the letter
forgiveness,1,The fist becomes palm
forgiveness,1,Rain rinses the blade
forgiveness,1,The dog forgets first
forgiveness,2,I set the heavy sack down
forgiveness,2,The bridge rebuilt plank by plank
forgiveness,2,Old wounds aired heal in sunlight
forgiveness,3,Lighter both of us
forgiveness,3,At last the knot slips
forgiveness,3,We drink the same tea
freedom,1,The cage door open
freedom,1,Wind owns no fences
freedom,1,Unbridled the colt
freedom,2,The kite string cut — and then sky
freedom,2,No bell decides my morning
freedom,2,The river ignores the map
freedom,3,I answer to dawn
freedom,3,Wide is the new word
freedom,3,My feet choose the path
fate,1,Threads spun before birth
fate,1,Rivers obey slopes
fate,1,The arrow mid-flight
fate,2,The acorn carries the oak
fate,2,Stars were posted long ago
fate,2,The river knows its ocean
fate,3,Still I hold the oar
fate,3,What comes I will meet
fate,3,The path was waiting
patience,1,Moss takes the long road
patience,1,The heron, statue
patience,1,Tea steeps; I don't stir
patience,2,The bamboo spends years on roots
patience,2,Fruit ripens at its own pace
patience,2,Stone steps worn by soft slippers
patience,3,The bud will not rush
patience,3,I let the pot steep
patience,3,Slowness is a door
silence,1,Snow says it softly
silence,1,Between two bell strikes
silence,1,The pond holds its tongue
silence,2,What the fog does to the town
silence,2,Even my thoughts take off shoes
silence,2,The loudest part of the shrine
silence,3,Listen — the nothing
silence,3,Full the empty air
silence,3,I stop being noise
dawn,1,The east lifts its lid
dawn,1,First light on wet grass
dawn,1,Roosters draft the day
dawn,2,Night folds its dark laundry up
dawn,2,Gold spills over the ridge top
dawn,2,The kettle and the sky sing
dawn,3,Begin says the light
dawn,3,Yesterday released
dawn,3,The page is empty
dusk,1,The sun kneels westward
dusk,1,Amber on the eaves
dusk,1,Bats stitch the warm air
dusk,2,Day signs its name in long shade
dusk,2,The fields exhale their stored heat
dusk,2,Lamps bloom one by one in town
dusk,3,The day lays down work
dusk,3,Stars clock in early
dusk,3,All roads point to home
autumn,1,The maple lets go
autumn,1,Geese audit the sky
autumn,1,Smoke and apple air
autumn,2,The harvest moon weighs the fields
autumn,2,Gold leaves spend themselves freely
autumn,2,Frost sharpens its first needles
autumn,3,Abundance then rest
autumn,3,The barn breathes slowly
autumn,3,Letting go is ripe
spring,1,Mud sweet on the boots
spring,1,The stream finds its voice
spring,1,Buds count to themselves
spring,2,Green riots out of the thaw
spring,2,Swallows rebuild the old eaves
spring,2,The orchard holds its pink breath
spring,3,Everything leans up
spring,3,The world tries again
spring,3,Small fierce and growing
rain,1,Clouds wring out their gray
rain,1,Drums on the tin roof
rain,1,The lane turns to glass
rain,2,The garden drinks past its fill
rain,2,Frogs hold parliament at dusk
rain,2,The river grows new muscles
rain,3,Everything smells green
rain,3,Eaves count the slow drops
rain,3,Washed the world widens
snow,1,The world in draft form
snow,1,Roofs hushed under white
snow,1,Fat flakes slow descent
snow,2,Pines shoulder their white burdens
snow,2,Footsteps vanish behind me
snow,2,The pond seals its bright letter
snow,3,Cold and yet a gift
snow,3,The quiet deepens
snow,3,Blank page by morning
wind,1,The grass bows in waves
wind,1,Doors argue softly
wind,1,Pines comb the long gusts
wind,2,Unseen yet it moves the world
wind,2,The banners learn their grammar
wind,2,It carries seeds and rumors
wind,3,It tells where it's been
wind,3,The chimes spend all night
wind,3,Let it comb me too
shadow,1,Short at noon then long
shadow,1,The cat owns the shade
shadow,1,Ink spilled by the pines
shadow,2,Where light is I am also
shadow,2,The mountain wears its evening
shadow,2,Faithful the dark twin follows
shadow,3,Proof that I stood here
shadow,3,Cool rooms in the glare
shadow,3,The light's quiet cost
light,1,Gold pours through the slats
light,1,Dust motes made of suns
light,1,The pond doubles dawn
light,2,One candle argues with night
light,2,It asks nothing and gives all
light,2,Windows harvest the morning
light,3,Cracks still let it in
light,3,Shadow proves its work
light,3,Lift your face; it's free
harmony,1,Frogs join the chorus
harmony,1,Rain keeps the brook's time
harmony,1,Wind chimes in accord
harmony,2,Each voice leaves room for the next
harmony,2,The geese agree on their V
harmony,2,Stones set just so in the stream
harmony,3,Nothing is too loud
harmony,3,The whole field one song
harmony,3,I tune myself down
dreams,1,The pillow's far lands
dreams,1,Doors open in sleep
dreams,1,I fly without wings
dreams,2,The night plants what day buried
dreams,2,In sleep the mute fish all sing
dreams,2,Maps sketched in vanishing ink
dreams,3,I wake with one seed
dreams,3,Morning steals the rest
dreams,3,Some doors stay open
rebirth,1,Green from the stump's edge
rebirth,1,The snake leaves its skin
rebirth,1,Ash then bright lichen
rebirth,2,The burned hill wears new velvet
rebirth,2,What winter buried springs up
rebirth,2,The moon rehearses return
rebirth,3,Begin me again
rebirth,3,The old name burns off
rebirth,3,First breath found again
